mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_regularization,param_learning_rate,param_max_iter,param_max_leaf_nodes,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,CV_RMSE
0.06449599266052246,0.010972057195342456,0.003976297378540039,0.00024348210207017102,0.1,0.01,100,7,10,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 100, 'max_leaf_nodes': 7, 'min_samples_leaf': 10}",-1.8629253708762048,-1.8185084585844566,-1.7135271531460443,-1.8791865443526246,-1.773198237119625,-1.809469152815791,0.06053137633801191,211,-1.7501682016217541,-1.7638096467489992,-1.7711490534480396,-1.749377894512608,-1.7697899628763816,-1.7608589518415563,0.009385761207973811,1.809469152815791
0.042170476913452146,0.0007004307648631231,0.0037539005279541016,0.00026511464178799975,0.1,0.01,100,7,20,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 100, 'max_leaf_nodes': 7, 'min_samples_leaf': 20}",-1.89466766466303,-1.8419587436735494,-1.7272675029851936,-1.8938944831358935,-1.7758059868194755,-1.8267188762554283,0.06609773297291648,214,-1.769351039848174,-1.78698893826437,-1.7994944136683981,-1.773442201854672,-1.7878554429665783,-1.7834264073204384,0.010847019311693325,1.8267188762554283
0.08237166404724121,0.009602481055407133,0.005057764053344726,0.0011969293939722934,0.1,0.01,100,15,10,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 100, 'max_leaf_nodes': 15, 'min_samples_leaf': 10}",-1.693102629201626,-1.619082327386106,-1.5216559098268643,-1.6827030837734034,-1.5387937246478636,-1.6110675349671726,0.07091345119883335,205,-1.5403043754142496,-1.5504702330807565,-1.5538548527369964,-1.5450750531966964,-1.5610752314258058,-1.550155949170901,0.0071537458203794054,1.6110675349671726
0.12960877418518066,0.013891281758523388,0.007050180435180664,0.0002646211063830847,0.1,0.01,100,15,20,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 100, 'max_leaf_nodes': 15, 'min_samples_leaf': 20}",-1.731376913522167,-1.6796464688834403,-1.5452545862395717,-1.6969629500269086,-1.555229682756391,-1.6416941202856958,0.07656985097548007,208,-1.5788995862476134,-1.5981940014402862,-1.6107828918043074,-1.5865027897767179,-1.6026279843821054,-1.5954014507302061,0.011385144318570973,1.6416941202856958
0.2566511631011963,0.0018919128481310957,0.008185815811157227,0.0002774852391042064,0.1,0.01,100,31,10,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 10}",-1.6548658571494559,-1.5498930574762813,-1.4432515006221596,-1.6306527135391775,-1.4658834468161237,-1.5489093151206395,0.08481345212294152,199,-1.4427674126815087,-1.46168889204772,-1.4667058482268862,-1.4554849119923554,-1.4671196677188763,-1.4587533465334694,0.009034243590873929,1.5489093151206395
0.23726754188537597,0.0017118752524766453,0.008188199996948243,0.00027075695616044274,0.1,0.01,100,31,20,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 100, 'max_leaf_nodes': 31, 'min_samples_leaf': 20}",-1.65463438097503,-1.62061427315188,-1.4769760080861556,-1.6302046087234199,-1.4745495067528107,-1.5713957555378593,0.07887191777352837,202,-1.4891974371633916,-1.519469236431145,-1.5324354663053894,-1.5053727752185397,-1.521158681067468,-1.5135267192371866,0.014896320599088502,1.5713957555378593
0.14985017776489257,0.0009747963773156777,0.010438823699951172,0.0004889969962911317,0.1,0.01,200,7,10,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 200, 'max_leaf_nodes': 7, 'min_samples_leaf': 10}",-1.2815895627019942,-1.2138949736138527,-1.1400910658422556,-1.2411250943789631,-1.1265921827552046,-1.200658575858454,0.059189221713191124,193,-1.123985605681436,-1.130119140283447,-1.13460958055057,-1.1371777804434606,-1.1489725799857318,-1.134972937388929,0.008309803346854631,1.200658575858454
0.14902143478393554,0.0013740365948260826,0.010583925247192382,0.0002759534293532669,0.1,0.01,200,7,20,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 200, 'max_leaf_nodes': 7, 'min_samples_leaf': 20}",-1.339100515489754,-1.251695152837249,-1.148877503323944,-1.2813006108896035,-1.1550025810572169,-1.2351952727195534,0.07358786970186254,196,-1.1643280063699568,-1.15579063885167,-1.168763385508856,-1.1830042702220633,-1.1787946475843896,-1.1701361897073874,0.009818052794140868,1.2351952727195534
0.2744400978088379,0.0022738707652669556,0.012442588806152344,0.0005303139476064629,0.1,0.01,200,15,10,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 200, 'max_leaf_nodes': 15, 'min_samples_leaf': 10}",-1.1442174477966014,-1.0468005244426832,-0.9835820475981111,-1.0345437932290784,-0.946854970638378,-1.0311997567409703,0.06694632804145224,187,-0.9184797464167604,-0.9218139301483707,-0.9258033352659588,-0.9270387449908758,-0.9307900479110783,-0.9247851609466087,0.0042605270165752135,1.0311997567409703
0.2698035717010498,0.002899084934601408,0.013118410110473632,0.0012977433038883182,0.1,0.01,200,15,20,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 200, 'max_leaf_nodes': 15, 'min_samples_leaf': 20}",-1.210766786152056,-1.1282028500284222,-0.9887653045078161,-1.0888311705062523,-0.9674242606302041,-1.0767980743649501,0.08994138291271306,190,-0.9817225433868685,-0.9840571515605187,-1.001673212279381,-1.0012059645341564,-1.0003209272301494,-0.9937959597982147,0.00894590684680887,1.0767980743649501
