mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,CV_RMSE
3.848876428604126,1.6743014500948772,0.07203617095947265,0.12741308897748635,0.8,0.01,2,80,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 80, 'subsample': 0.8}",-141.1966347407361,-138.85259743448077,-133.42208369178834,-143.43272268089586,-139.871020049385,-139.3550117194572,3.3387908508723148,718,-136.52796953125502,-137.489592771031,-139.07361908138384,-137.56928909956366,-138.14555337059508,-137.76120477076572,0.836854709986131,139.3550117194572
4.018817377090454,0.942944896934951,0.022563600540161134,0.007680751691129922,0.8,0.01,2,80,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 80, 'subsample': 0.9}",-141.18577933876514,-139.10907672909016,-133.43211558299367,-143.828714022015,-139.74862703928147,-139.46086254242908,3.4236184386411983,719,-136.7002329385839,-137.66457528440603,-138.99267087603613,-137.65778341765767,-138.17424061791755,-137.83790062692026,0.7487844242907317,139.46086254242908
3.9087180614471437,0.821200370416135,0.01635422706604004,0.014454142606352492,0.8,0.01,2,80,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 80, 'subsample': 1.0}",-141.43798819414678,-138.9373418593199,-133.6375577902197,-143.84094852434845,-139.9460556873167,-139.5599784110703,3.390145241879696,720,-136.9335415739568,-137.54802396234845,-138.96083009806398,-137.46465320725812,-138.0823530833703,-137.79788038499953,0.6861380204354344,139.5599784110703
3.0408461570739744,0.28977380581784823,0.009508657455444335,0.00625413943670998,0.8,0.01,2,120,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 120, 'subsample': 0.8}",-123.96622560147027,-121.50568719829735,-116.00969920748071,-124.37180457829864,-120.68610970407897,-121.30790525792517,2.9983622480940264,703,-117.65734982679906,-118.8923427122339,-120.216445635898,-119.28200690294877,-119.75624827912824,-119.16087867140159,0.8736211058275113,121.30790525792517
4.0155613899230955,1.2285289773563473,0.018376541137695313,0.012178644956786736,0.8,0.01,2,120,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 120, 'subsample': 0.9}",-124.1798027071464,-121.72174929877967,-116.18591974832529,-124.72369931785884,-120.81573932816333,-121.52538208005471,3.043918294929218,704,-117.96828261661062,-119.01794456500205,-119.9867954804856,-119.26557677395495,-119.83787962114641,-119.21529581143993,0.718239505622829,121.52538208005471
2.781155300140381,0.631761143244028,0.017423248291015624,0.013011630188842065,0.8,0.01,2,120,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 120, 'subsample': 1.0}",-124.3665942117743,-121.40057596907954,-116.24046197512818,-125.00888012134098,-120.7570019468798,-121.55470284484056,3.122156676231638,705,-118.1673147497594,-118.84034313417098,-120.02734923264117,-118.98090884312663,-119.67595831636365,-119.13837485521238,0.653582068533054,121.55470284484056
0.7515148162841797,0.7367515013048691,0.00828695297241211,0.005075020556049534,0.8,0.01,2,160,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 160, 'subsample': 0.8}",-110.23520219155685,-107.9499398768928,-102.55493324383302,-110.21460027493772,-105.91112963491493,-107.37316104442706,2.896569875937637,673,-103.37744196974069,-104.42173900101852,-105.59231638827512,-104.79609330248395,-105.37056773420848,-104.71163167914536,0.7849886614323783,107.37316104442706
0.11019296646118164,0.016073479793715862,0.009288692474365234,0.00885890530721372,0.8,0.01,2,160,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 160, 'subsample': 0.9}",-110.52562099988882,-107.9931532414769,-102.85042652641908,-110.55262453499286,-106.13665767956677,-107.61169659646889,2.902790182799496,674,-103.6442534073006,-104.42564970519494,-105.35119669523543,-104.78079695845467,-105.5053363327105,-104.74144661977923,0.6723736660466516,107.61169659646889
0.08289527893066406,0.009017255952917637,0.00671234130859375,0.0031677450022231674,0.8,0.01,2,160,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 160, 'subsample': 1.0}",-110.6834296568668,-107.71777121502573,-103.15612940903671,-111.20173687182849,-106.01117991205687,-107.75404941296293,2.9882301114449725,675,-103.70399762936046,-104.21234374595296,-105.4738094151541,-104.63418242009293,-105.23559925811274,-104.65198649373465,0.649350812828962,107.75404941296293
0.11832313537597657,0.014183303880075576,0.005809640884399414,0.0027700146062555595,0.8,0.01,2,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 200, 'subsample': 0.8}",-100.31436649165917,-97.49867563506676,-92.76978527204739,-99.36458694077511,-95.96918826306701,-97.18332052052308,2.668866105517034,653,-92.93344868653166,-93.87285232607735,-94.82326362238813,-93.92260312606885,-94.99085665915287,-94.10860488404379,0.7430038113070065,97.18332052052308
