feature,importance_mean,importance_std
endpoint_altitude_change_m,2.121970617150361,0.0747174807813829
planned_cumulative_ascent_m,0.2348681811535896,0.01870485771110975
similar_task_energy_soc_delta_pct,0.1326260550572249,0.010711514460738458
planned_total_distance_m,0.12201275186605084,0.008570407392052382
similar_task_duration_min,0.11609998919696589,0.010210156879075448
similar_task_actual_distance_km,0.05160845752572887,0.004980474795405046
similar_top3_duration_mean_sec,0.006166658835350036,0.0020953473726256742
straight_line_distance_m,0.005619798632119954,0.0019180593248752855
planned_slope_mean,0.00478435128785164,0.0014325250343038885
vehicle_prev1_duration_sec,0.0017826580916769697,0.001381709471652676
fleet_prev60m_speed_min,0.0012596620456950202,0.0009927480880087367
planned_cumulative_descent_m,-0.0013500397290846845,0.0008458557175507448
similar_top3_od_distance_mean_m,-0.0014823871478077066,0.0008461219095050801
planned_slope_std,-0.005264977699947604,0.002511981719415407
fleet_prev60m_speed_mean,-0.005819019989477347,0.001570611804120001
