feature,importance_mean,importance_std
similar_top3_duration_mean_sec,1.9752648455256967,0.0833545149911274
similar_task_duration_min,0.1919146294088364,0.00831381568306696
endpoint_altitude_change_m,0.10184973234702895,0.00985654838996834
similar_task_actual_distance_km,0.03998913168450415,0.006127638846116815
planned_cumulative_ascent_m,0.036046210790427136,0.005393790497392726
planned_total_distance_m,0.023445208687535357,0.007466956900661195
straight_line_distance_m,0.01954683460739167,0.006179783043589973
fleet_prev60m_speed_mean,0.013661379597428847,0.005099356753617
similar_top3_od_distance_mean_m,0.007525595325895351,0.0035331120584843273
planned_slope_std,0.0011233223025153283,0.0015896427889164244
fleet_prev60m_speed_min,-0.00011557977619925941,0.00012568358644961513
vehicle_prev1_duration_sec,-0.0009889061676187194,0.003812975170602337
similar_task_energy_soc_delta_pct,-0.002898356730785867,0.004421314456544229
planned_slope_mean,-0.0037291692406392516,0.001284143435466595
planned_cumulative_descent_m,-0.0048546395040983455,0.0022423584858729684
