feature,gain,gain_pct
similar_top3_duration_mean_sec,192534.0240626335,48.57235103632897
similar_task_duration_min,95783.32051694393,24.16415015592634
similar_task_actual_distance_km,28766.991461992264,7.257316800777068
planned_total_distance_m,17099.98277926445,4.313971882701698
straight_line_distance_m,9023.964449167252,2.2765595384933928
fleet_prev60m_speed_mean,8199.956096887589,2.068679278686562
endpoint_altitude_change_m,7380.953720808029,1.8620619231090219
similar_top3_od_distance_mean_m,6480.7503571510315,1.6349592382900124
planned_slope_mean,6394.741428136826,1.6132609648930067
planned_cumulative_ascent_m,6145.254048466682,1.5503204605147785
vehicle_prev1_duration_sec,5932.761075377464,1.4967128795591909
planned_cumulative_descent_m,5529.373126268387,1.3949464454790672
planned_slope_std,3980.2763044834137,1.004141365788198
similar_task_energy_soc_delta_pct,2875.2842388153076,0.7253747282170152
fleet_prev60m_speed_min,258.4171521663666,0.06519330123568139
missingindicator_vehicle_prev1_duration_sec,0.0,0.0
missingindicator_similar_task_actual_distance_km,0.0,0.0
missingindicator_similar_task_duration_min,0.0,0.0
missingindicator_similar_task_energy_soc_delta_pct,0.0,0.0
missingindicator_similar_top3_duration_mean_sec,0.0,0.0
missingindicator_similar_top3_od_distance_mean_m,0.0,0.0
missingindicator_fleet_prev60m_speed_mean,0.0,0.0
missingindicator_fleet_prev60m_speed_min,0.0,0.0
