feature,importance_mean,importance_std
similar_top3_duration_mean_sec,1.9566781277967806,0.08412863245244315
similar_task_duration_min,0.17457300678417703,0.008940105107753053
endpoint_altitude_change_m,0.0992226210929951,0.008019428620285892
similar_task_actual_distance_km,0.0427154045192054,0.004673607164528509
planned_cumulative_ascent_m,0.042090369382018177,0.005168338775296628
planned_total_distance_m,0.04003885479874293,0.008040373983317339
straight_line_distance_m,0.016300608831171258,0.005577237801370731
fleet_prev60m_speed_mean,0.016158280438515592,0.003832485433027519
similar_top3_od_distance_mean_m,0.008752152196375729,0.0027358235620118677
planned_slope_std,0.0017521583678623332,0.0020170959340864306
vehicle_prev1_duration_sec,0.0008376403048904856,0.00442656837526307
fleet_prev60m_speed_min,0.0002137734822167392,0.0004629600557538203
planned_slope_mean,-0.0024498333386635874,0.0018864062797086982
planned_cumulative_descent_m,-0.006210806536833846,0.001693260780491609
similar_task_energy_soc_delta_pct,-0.007733613551299678,0.003799611197312478
