worst_rank,target_task_id,target_sn,target_actual_start_time,target_actual_duration_min,target_prediction_min,target_signed_error_min,target_absolute_error_min,neighbor_rank,neighbor_task_id,neighbor_sn,neighbor_actual_start_time,neighbor_actual_duration_min,feature_rms_z_distance,feature_similarity_score,mean_abs_z_feature_diff,max_abs_z_feature_diff,label_diff_min,absolute_label_diff_min,label_gap_per_feature_distance,is_close_features_large_label_gap,top_feature_differences,target_planned_total_distance_m,neighbor_planned_total_distance_m,target_endpoint_altitude_change_m,neighbor_endpoint_altitude_change_m,target_planned_cumulative_ascent_m,neighbor_planned_cumulative_ascent_m,target_similar_task_duration_min,neighbor_similar_task_duration_min,target_similar_task_actual_distance_km,neighbor_similar_task_actual_distance_km,target_similar_top3_duration_mean_sec,neighbor_similar_top3_duration_mean_sec,target_similar_top3_od_distance_mean_m,neighbor_similar_top3_od_distance_mean_m,target_fleet_prev60m_speed_mean,neighbor_fleet_prev60m_speed_mean,target_fleet_prev60m_speed_min,neighbor_fleet_prev60m_speed_min
3,8101236806615297,TLE00900JR1450046,2026-07-06 07:47:07.136,26.78336666666663,19.163198434416525,-7.620168232250105,7.620168232250105,1,8098044756459777,TLE00860HR1450010,2026-07-04 01:40:01.095,18.816616666666672,0.27263816836085397,0.7857692978735588,0.17944740750695373,0.6339601625827371,-7.9667499999999585,7.9667499999999585,29.220963623315786,True,vehicle_prev1_duration_sec: 1061 → 1166 (|Δz|=0.634) | similar_task_energy_soc_delta_pct: 12 → 13.2 (|Δz|=0.494) | fleet_prev60m_speed_mean: 2.806 → 2.909 (|Δz|=0.461) | similar_task_actual_distance_km: 4 → 3.75 (|Δz|=0.377) | similar_task_duration_min: 18.27 → 19 (|Δz|=0.266),3783.517004214012,3708.348472485245,149.69910000000004,147.15980000000002,135.41200000000003,136.43000000000018,18.266750000000002,18.999266666666664,4.0,3.75,1121.796333333333,1115.3079999999998,52.13194390183364,50.65182707295266,2.8055256673513687,2.9091494002293827,0.001,0.001
3,8101236806615297,TLE00900JR1450046,2026-07-06 07:47:07.136,26.78336666666663,19.163198434416525,-7.620168232250105,7.620168232250105,2,8098102264316161,TLE00860VR1450004,2026-07-04 02:38:31.138,18.63316666666667,0.28349144139232557,0.7791247902013314,0.15791358323305713,0.823745898150808,-8.150199999999959,8.150199999999959,28.749368799183063,True,similar_task_energy_soc_delta_pct: 12 → 14 (|Δz|=0.824) | fleet_prev60m_speed_mean: 2.806 → 2.942 (|Δz|=0.608) | similar_top3_od_distance_mean_m: 52.13 → 34.33 (|Δz|=0.286) | similar_task_duration_min: 18.27 → 18.82 (|Δz|=0.200) | planned_total_distance_m: 3784 → 3727 (|Δz|=0.114),3783.517004214012,3726.833194521453,149.69910000000004,147.25400000000002,135.41200000000003,135.69899999999984,18.266750000000002,18.81583333333332,4.0,4.0,1121.796333333333,1132.6343333333332,52.13194390183364,34.32819901771987,2.8055256673513687,2.942232318375799,0.001,0.001
3,8101236806615297,TLE00900JR1450046,2026-07-06 07:47:07.136,26.78336666666663,19.163198434416525,-7.620168232250105,7.620168232250105,3,8093050435420417,TLE00900AR1450052,2026-06-30 12:59:33.029,17.66921666666669,0.34965476441623994,0.7409302188715834,0.2762675048642548,0.823745898150808,-9.114149999999942,9.114149999999942,26.06613988291083,True,similar_task_energy_soc_delta_pct: 12 → 14 (|Δz|=0.824) | similar_top3_duration_mean_sec: 1122 → 1050 (|Δz|=0.446) | fleet_prev60m_speed_mean: 2.806 → 2.9 (|Δz|=0.423) | planned_slope_mean: 0.03783 → 0.03978 (|Δz|=0.410) | vehicle_prev1_duration_sec: 1061 → 1128 (|Δz|=0.404),3783.517004214012,3666.740693251123,149.69910000000004,144.3608999999999,135.41200000000003,141.13799999999992,18.266750000000002,17.36606666666667,4.0,4.0,1121.796333333333,1049.6350000000004,52.13194390183364,73.85661370098775,2.8055256673513687,2.9004962450176413,0.001,0.001
1,8101229803258113,TLE00900AR1450052,2026-07-06 07:39:59.114,30.88328333333335,22.091098424305095,-8.792184909028254,8.792184909028254,1,8098279219396865,TLE00860VR1450018,2026-07-04 05:38:31.011,20.883833333333357,0.4237553589294934,0.7023678567586846,0.32171817791136387,0.9381323372512747,-9.999449999999992,9.999449999999992,23.5972237029898,True,planned_slope_mean: 0.04555 → 0.04108 (|Δz|=0.938) | planned_total_distance_m: 4275 → 4652 (|Δz|=0.761) | fleet_prev60m_speed_mean: 3.021 → 3.184 (|Δz|=0.727) | similar_task_actual_distance_km: 4.375 → 4.75 (|Δz|=0.565) | straight_line_distance_m: 2845 → 2713 (|Δz|=0.349),4274.707549237683,4652.275236169459,189.35169999999994,186.3823,176.8589999999997,179.97500000000002,21.59970000000003,21.13338333333333,4.375,4.75,1292.6743333333322,1276.449,52.64816036546268,40.65175355476574,3.0210305440710457,3.1843119427460804,0.0,0.0
3,8101236806615297,TLE00900JR1450046,2026-07-06 07:47:07.136,26.78336666666663,19.163198434416525,-7.620168232250105,7.620168232250105,5,8091950441578752,TLE00860CR1450020,2026-06-29 18:20:35.037,18.549899999999994,0.3721661798267737,0.7287747028761801,0.23124295912654927,1.1532442574111301,-8.233466666666637,8.233466666666637,22.123092083485226,True,similar_task_energy_soc_delta_pct: 12 → 14.8 (|Δz|=1.153) | vehicle_prev1_duration_sec: 1061 → 1153 (|Δz|=0.555) | endpoint_altitude_change_m: 149.7 → 140.7 (|Δz|=0.387) | similar_task_actual_distance_km: 4 → 4.25 (|Δz|=0.377) | planned_cumulative_ascent_m: 135.4 → 138.7 (|Δz|=0.178),3783.517004214012,3734.944630717023,149.69910000000004,140.67790000000002,135.41200000000003,138.74099999999999,18.266750000000002,18.4327,4.0,4.25,1121.796333333333,1095.6263333333334,52.13194390183364,62.87064547221337,2.8055256673513687,2.832576812020789,0.001,0.001
2,8101232387588353,TLE00860VR1450018,2026-07-06 07:42:37.144,23.78346666666666,15.670646205093616,-8.112820461573042,8.112820461573042,2,8095620961288449,TLE00900CR1450050,2026-07-02 08:34:25.012,15.24919999999998,0.4008255084368199,0.7138647847124794,0.306594010692402,0.823745898150808,-8.534266666666678,8.534266666666678,21.291725419246593,True,similar_task_energy_soc_delta_pct: 14 → 12 (|Δz|=0.824) | endpoint_altitude_change_m: 132 → 116.7 (|Δz|=0.657) | planned_cumulative_ascent_m: 132 → 120 (|Δz|=0.645) | planned_slope_mean: 0.04003 → 0.03735 (|Δz|=0.562) | fleet_prev60m_speed_mean: 2.959 → 3.054 (|Δz|=0.422),3499.8998208308667,3364.008157591527,131.9828,116.66989999999998,132.02200000000005,119.98700000000031,15.49373333333334,15.482349999999977,3.375,3.125,931.0729999999998,932.9539999999998,43.38341148091976,62.92657153248007,2.959483138337175,3.054282454280606,0.001,0.001
4,8101237699297537,TLE00860CR1450020,2026-07-06 07:48:01.178,23.48384999999998,17.476125924393894,-6.007724075606085,6.007724075606085,5,8095620961288449,TLE00900CR1450050,2026-07-02 08:34:25.012,15.24919999999998,0.41565339525787814,0.7063875969568371,0.27299531059759446,1.2883507794464537,-8.234649999999998,8.234649999999998,19.811338230236487,True,fleet_prev60m_speed_mean: 2.765 → 3.054 (|Δz|=1.288) | similar_top3_duration_mean_sec: 1020 → 933 (|Δz|=0.536) | similar_task_duration_min: 16.65 → 15.48 (|Δz|=0.424) | straight_line_distance_m: 2976 → 2845 (|Δz|=0.348) | planned_slope_mean: 0.03579 → 0.03735 (|Δz|=0.327),3516.8481990223895,3364.008157591527,117.15290000000005,116.66989999999998,120.08100000000013,119.98700000000031,16.650083333333324,15.482349999999977,3.25,3.125,1019.6799999999997,932.9539999999998,52.75591371295138,62.92657153248007,2.7647313348415867,3.054282454280606,0.001,0.001
1,8101229803258113,TLE00900AR1450052,2026-07-06 07:39:59.114,30.88328333333335,22.091098424305095,-8.792184909028254,8.792184909028254,4,8097132071682305,TLE00900JR1450046,2026-07-03 10:11:36.137,20.600049999999975,0.5735428798762491,0.6355085792632768,0.3344032765955847,1.9243257130140168,-10.283233333333374,10.283233333333374,17.92931913922834,True,fleet_prev60m_speed_min: 0 → 0.001 (|Δz|=1.924) | fleet_prev60m_speed_mean: 3.021 → 3.19 (|Δz|=0.750) | similar_task_energy_soc_delta_pct: 18.4 → 19.6 (|Δz|=0.494) | similar_task_actual_distance_km: 4.375 → 4.625 (|Δz|=0.377) | endpoint_altitude_change_m: 189.4 → 183.2 (|Δz|=0.266),4274.707549237683,4192.111499233494,189.35169999999994,183.1648,176.8589999999997,177.0279999999999,21.59970000000003,21.2838833333333,4.375,4.625,1292.6743333333322,1261.999999999999,52.64816036546268,69.15585904561878,3.0210305440710457,3.189534370950715,0.0,0.001
2,8101232387588353,TLE00860VR1450018,2026-07-06 07:42:37.144,23.78346666666666,15.670646205093616,-8.112820461573042,8.112820461573042,4,8093539650388225,TLE00860HR1450010,2026-06-30 21:17:12.080,16.28349999999998,0.4232994234262313,0.7025928511885112,0.2638624968576489,1.3241972356363363,-7.49996666666668,7.49996666666668,17.7178759327408,True,fleet_prev60m_speed_mean: 2.959 → 3.257 (|Δz|=1.324) | similar_task_energy_soc_delta_pct: 14 → 12.8 (|Δz|=0.494) | planned_slope_mean: 0.04003 → 0.03775 (|Δz|=0.477) | vehicle_prev1_duration_sec: 1039 → 1117 (|Δz|=0.471) | similar_top3_duration_mean_sec: 931.1 → 980.8 (|Δz|=0.307),3499.8998208308667,3615.3900527835267,131.9828,128.09219999999993,132.02200000000005,132.20800000000008,15.49373333333334,15.716566666666655,3.375,3.375,931.0729999999998,980.7546666666664,43.38341148091976,55.849005031600775,2.959483138337175,3.257090589703251,0.001,0.001
2,8101232387588353,TLE00860VR1450018,2026-07-06 07:42:37.144,23.78346666666666,15.670646205093616,-8.112820461573042,8.112820461573042,3,8095522099249409,TLE00860CR1450020,2026-07-02 06:53:51.045,16.500183333333318,0.4120217436762461,0.7082043916664246,0.30574045040382747,0.8762567996999981,-7.28328333333334,7.28328333333334,17.676939251672888,True,similar_top3_od_distance_mean_m: 43.38 → 97.97 (|Δz|=0.876) | endpoint_altitude_change_m: 132 → 115.9 (|Δz|=0.689) | planned_cumulative_ascent_m: 132 → 119.9 (|Δz|=0.652) | planned_slope_mean: 0.04003 → 0.03721 (|Δz|=0.592) | similar_task_energy_soc_delta_pct: 14 → 12.8 (|Δz|=0.494),3499.8998208308667,3392.0927139085716,131.9828,115.93420000000003,132.02200000000005,119.85599999999977,15.49373333333334,15.466016666666679,3.375,3.25,931.0729999999998,964.559666666667,43.38341148091976,97.97412974271657,2.959483138337175,3.0402141724011003,0.001,0.001
