mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
1.0225359201431274,0.026533458520142394,0.009142816066741943,0.0014756533797301726,0.03,3,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",-2.528407220008972,-1.373252791204095,-2.0604584370116137,-2.450910306867704,-2.103257188773096,0.45726179405325096,5,-0.998185686504693,-1.325353149420813,-1.2549344804600382,-1.3918010272183836,-1.2425685859009818,0.14916393864160254
0.12633460760116577,0.009126918366779178,0.005783200263977051,0.0004653434288461943,0.03,3,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",-2.4810859718959137,-1.2871657902258165,-2.0866782592865345,-2.466949415300645,-2.0804698591772275,0.48456929512660196,2,-1.0256443813993419,-1.3418296574500086,-1.2715183256272662,-1.4072041378182407,-1.2615491255737143,0.14440462221132128
0.24813169240951538,0.02823497886368888,0.0057885050773620605,0.00066974737552105,0.03,3,400,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",-2.586786244836938,-1.3889864634191247,-2.074850056893658,-2.4791387343963147,-2.132440374886509,0.4697526703570917,6,-0.7874194128822554,-1.1448312717585956,-1.1324853834094013,-1.2757209910397833,-1.085114264772509,0.18080603747149496
0.202556312084198,0.023937955006922886,0.006302237510681152,0.00213110495608553,0.03,3,400,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",-2.4113521042550214,-1.291138849507045,-2.0674937651204908,-2.4780503285119977,-2.062008761848639,0.47154052399814855,1,-0.8739865000211394,-1.2151100843017022,-1.1672992232216388,-1.31528076485842,-1.142919143100725,0.16419440875597713
0.28524088859558105,0.017753740494301652,0.006046295166015625,0.0015609960732047947,0.03,5,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",-2.7564145539101217,-1.255873026301465,-2.1420218302827063,-2.4826807526593804,-2.159247540788418,0.5651547846892983,8,-0.6159099795226303,-0.9239022888307947,-0.9517793009569158,-1.0752354931161199,-0.8917067656066151,0.16910937455874908
0.2514103651046753,0.02935135859347547,0.0064623355865478516,0.002027634972578082,0.03,5,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",-2.8375931562292176,-1.293282112263131,-2.137120325847861,-2.476963220924597,-2.186239703816202,0.5719631668592148,11,-0.6348697826194007,-0.912946532524804,-0.9600378768985031,-1.1001811785656952,-0.9020088426521007,0.1689101491858368
0.46871674060821533,0.0340949282000585,0.005768179893493652,0.000622954180182149,0.03,5,400,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",-2.7784200015492755,-1.3048418955336867,-2.1235352413829274,-2.5111594484465827,-2.179489146728118,0.5560714907824742,10,-0.34669346850945926,-0.6353105107148277,-0.706931881809516,-0.8309986021554276,-0.6299836157973077,0.1779113148050693
0.3642391562461853,0.02315906509826025,0.005365610122680664,0.0005868467616548547,0.03,5,400,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 1.0}",-2.8249696185172692,-1.3110014888703314,-2.133723624777312,-2.495021955460124,-2.191179171906259,0.563920353627958,12,-0.45590277731526246,-0.7106246959590956,-0.7719015420623694,-0.9308959891642832,-0.7173312511252526,0.17100996958325174
0.0924985408782959,0.01376259528854059,0.00376051664352417,0.0003733786193404767,0.08,3,200,0.8,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",-2.5110566493482303,-1.4963190515303233,-2.1087575474809457,-2.478445919656374,-2.148644792003968,0.4084210456454971,7,-0.6857666997357157,-1.0563360514060172,-1.0716190566158144,-1.2117270148711394,-1.0063622056571717,0.19475113936540372
0.07837492227554321,0.0048762061190173725,0.003992855548858643,0.0005777960606315594,0.08,3,200,1.0,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",-2.4529638550659536,-1.285321665382797,-2.088040556356078,-2.5017949591730795,-2.082030258994477,0.48697403499047703,3,-0.7986724210320858,-1.1474726809496392,-1.1045411198692858,-1.2675926880604829,-1.0795697274778733,0.17283685371102345
0.200353741645813,0.01891895286282072,0.004771709442138672,0.00034223240990845954,0.08,3,400,0.8,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",-2.5201376275225567,-1.521101274819605,-2.109783332275872,-2.521246830164936,-2.1680672661957425,0.4094665293649614,9,-0.41905894902818414,-0.7915421612775942,-0.8677879181457949,-1.0161391253426075,-0.7736320384485451,0.22006695862637937
0.15268826484680176,0.010534549079140806,0.004433631896972656,0.00022957078489873388,0.08,3,400,1.0,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",-2.4512612658852335,-1.3114454873541175,-2.092537080382103,-2.521069770603954,-2.0940784010563522,0.4802129428375953,4,-0.517415613739562,-0.90040459542658,-0.9275640020590166,-1.0863639030814884,-0.8579370285766617,0.20903652828463307
0.20495647192001343,0.012355128162604303,0.0038682222366333008,0.0002432701784187044,0.08,5,200,0.8,"{'model__learning_rate': 0.08, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",-2.7276208450789046,-1.4157225161062996,-2.216120397621505,-2.5483734480817706,-2.22695930172212,0.503038676111214,14,-0.24023922569991824,-0.512454766896599,-0.5714649100532654,-0.7304139217827352,-0.5136432061081295,0.1768361116344826
0.16727638244628906,0.01866367734280832,0.0037471652030944824,0.00043563231766088407,0.08,5,200,1.0,"{'model__learning_rate': 0.08, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",-2.8284292018707524,-1.3194992163498873,-2.1885739826284314,-2.5241650637850537,-2.215166866158531,0.5644684001137339,13,-0.3375567271427937,-0.5967434252725307,-0.6696903804555636,-0.8390399573146229,-0.6107576225463777,0.18056925354041745
0.3685884475708008,0.022617759660762293,0.004448533058166504,0.00014778764634913982,0.08,5,400,0.8,"{'model__learning_rate': 0.08, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",-2.758624598440537,-1.4504786883625962,-2.2000052037366387,-2.5715678354231515,-2.245169081490731,0.5009354527378665,16,-0.05915186929219972,-0.21136037123989493,-0.2942089151682705,-0.4181812503437396,-0.24572560151102618,0.13046293450933596
0.3068888187408447,0.024407374237258025,0.0042580366134643555,0.00044114284692660464,0.08,5,400,1.0,"{'model__learning_rate': 0.08, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 1.0}",-2.8564616378427767,-1.3388127161351955,-2.166130831772882,-2.554972172154556,-2.2290943394763527,0.5692872431936096,15,-0.10601613964163725,-0.2977296128457071,-0.38569261219963835,-0.5125108077649718,-0.32548729311298863,0.14793626287946776
