feature,importance_mean,importance_std
endpoint_altitude_change_m,1.991123331640083,0.07273533967740202
planned_cumulative_ascent_m,0.2622863506888608,0.017180558016152734
similar_task_duration_min,0.10615970507257369,0.010268484784833061
planned_total_distance_m,0.1019693932118422,0.011854693089067137
similar_task_energy_soc_delta_pct,0.05126095745584104,0.006062792094782449
similar_task_actual_distance_km,0.014696694625930396,0.0018661531781941228
similar_top3_duration_mean_sec,0.006898113030760244,0.007806638854863236
straight_line_distance_m,0.005020303932847447,0.0033610508725729934
planned_slope_mean,0.003866080526183491,0.0020324356287642
vehicle_prev1_duration_sec,0.003325253486867441,0.0010795527722256202
planned_cumulative_descent_m,0.0019163116639692502,0.001716914227673393
fleet_prev60m_speed_min,0.0008414215934952173,0.0007473936555602062
similar_top3_od_distance_mean_m,-0.0005331828041774567,0.0016423705694457958
planned_slope_std,-0.0021462639978993116,0.0013374213891981616
fleet_prev60m_speed_mean,-0.00351472391971972,0.00261972521419498
