feature,importance_mean,importance_std
similar_top3_duration_mean_sec,2.1032395270082107,0.08883682712510674
similar_task_duration_min,0.32418221990241614,0.018542284886557084
endpoint_altitude_change_m,0.021888262615391042,0.0028261349717131432
planned_total_distance_m,0.013207882539187744,0.006965372562839928
similar_task_actual_distance_km,0.01094235765731647,0.00252555194568099
straight_line_distance_m,0.002920290192155184,0.0040605250337480865
fleet_prev60m_speed_mean,0.0028674442266414025,0.0012063834902099155
vehicle_prev1_duration_sec,0.00278705757681903,0.0023170782605833377
planned_cumulative_ascent_m,0.002724959583111608,0.001510624198362272
planned_slope_std,0.0024862478661710984,0.0014000977663071543
similar_top3_od_distance_mean_m,0.0014435207871581035,0.0014500702153567755
similar_task_energy_soc_delta_pct,1.4273502648132208e-05,0.0008147410770065997
fleet_prev60m_speed_min,-3.576358050438877e-06,0.00015321270557055897
planned_cumulative_descent_m,-0.0006389489989020558,0.0011612944254841132
planned_slope_mean,-0.009052894333256178,0.002158474936933392
